鰲山	ao2 shan1
鼇山	ao2 shan1
熬審	ao2 shen3
鼇署	ao2 shu3
熬糖	ao2 tang2
遨頭	ao2 tou2
鼇頭	ao2 tou2
翱翔	ao2 xiang2
熬刑	ao2 xing2
聱牙	ao2 ya2
熬藥	ao2 yao4
熬夜	ao2 ye4
熬鷹	ao2 ying1
敖遊	ao2 you2
熬油	ao2 you2
遨遊	ao2 you2
鰲魚	ao2 yu2
鏖糟	ao2 zao1
鏖戰	ao2 zhan4
熬煮	ao2 zhu3
鏊子	ao2 zi5
拗花	ao3 hua1
襖裙	ao3 qun2
媼神	ao3 shen2
媼相	ao3 xiang4
襖子	ao3 zi5
傲岸	ao4 an4
敖敖	ao4 ao4
傲悖	ao4 bei4
拗彆	ao4 bie5
奧博	ao4 bo2
奧草	ao4 cao3
拗處	ao4 chu4
傲達	ao4 da2
傲骨	ao4 gu3
傲很	ao4 hen3
傲狠	ao4 hen3
懊悔	ao4 hui3
奧會	ao4 hui4
拗強	ao4 jiang4
拗句	ao4 ju4
奧坎	ao4 kan3
拗口	ao4 kou3
奧龍	ao4 long2
奧略	ao4 lve4
拗蠻	ao4 man2
傲慢	ao4 man4
澳門	ao4 men2
懊悶	ao4 men4
奧祕	ao4 mi4
奧妙	ao4 miao4
懊憹	ao4 nao2
懊惱	ao4 nao3
傲睨	ao4 ni4
傲虐	ao4 nve4
傲氣	ao4 qi4
奧區	ao4 qu1
傲然	ao4 ran2
燠熱	ao4 re4
懊喪	ao4 sang4
傲世	ao4 shi4
傲視	ao4 shi4
傲霜	ao4 shuang1
拗體	ao4 ti3
拗甜	ao4 tian2
傲物	ao4 wu4
奧衍	ao4 yan3
奧窔	ao4 yao3
傲逸	ao4 yi4
奧義	ao4 yi4
奧援	ao4 yuan2
奧遠	ao4 yuan3
奧運	ao4 yun4
傲囋	ao4 zan4
奧賾	ao4 ze2
奧旨	ao4 zhi3
澳洲	ao4 zhou1
奧主	ao4 zhu3
吧吧	ba1 ba1
巴巴	ba1 ba1
粑粑	ba1 ba1
八拜	ba1 bai4
八寶	ba1 bao3
巴鼻	ba1 bi2
八辟	ba1 bi4
巴臂	ba1 bi4
笆壁	ba1 bi4
八表	ba1 biao3
巴柄	ba1 bing3
八病	ba1 bing4
八伯	ba1 bo2
八不	ba1 bu4
八材	ba1 cai2
八岔	ba1 cha4
巴剎	ba1 cha4
八成	ba1 cheng2
巴嗤	ba1 chi5
八廚	ba1 chu2
巴船	ba1 chuan2
巴答	ba1 da1
八達	ba1 da2
吧嗒	ba1 da5
八代	ba1 dai4
八刀	ba1 dao1
巴到	ba1 dao4
八德	ba1 de2
巴得	ba1 de2
芭蒂	ba1 di4
巴東	ba1 dong1
八洞	ba1 dong4
巴斗	ba1 dou3
笆斗	ba1 dou3
巴豆	ba1 dou4
八都	ba1 du1
巴頓	ba1 dun4
巴蛾	ba1 e2
巴爾	ba1 er3
八法	ba1 fa3
八幡	ba1 fan1
八方	ba1 fang1
扒房	ba1 fang2
八分	ba1 fen1
八風	ba1 feng1
八垓	ba1 gai1
八綱	ba1 gang1
八哥	ba1 ge1
捌格	ba1 ge2
八更	ba1 geng1
八公	ba1 gong1
八股	ba1 gu3
八顧	ba1 gu4
八卦	ba1 gua4
巴棍	ba1 gun4
巴國	ba1 guo2
巴哈	ba1 ha1
巴漢	ba1 han4
八行	ba1 hang2
巴河	ba1 he2
巴赫	ba1 he4
疤痕	ba1 hen2
八紘	ba1 hong2
八荒	ba1 huang1
八及	ba1 ji2
八極	ba1 ji2
吧唧	ba1 ji5
巴江	ba1 jiang1
芭蕉	ba1 jiao1
八角	ba1 jiao3
八節	ba1 jie2
巴解	ba1 jie3
八戒	ba1 jie4
巴劫	ba1 jie5
巴結	ba1 jie5
巴金	ba1 jin1
八九	ba1 jiu3
芭苴	ba1 ju3
八俊	ba1 jun4
八駿	ba1 jun4
八愷	ba1 kai3
八科	ba1 ke1
八苦	ba1 ku3
巴庫	ba1 ku4
巴拉	ba1 la1
芭拉	ba1 la1
扒拉	ba1 la5
巴攔	ba1 lan2
巴攬	ba1 lan3
八郎	ba1 lang2
八老	ba1 lao3
芭樂	ba1 le4
巴蕾	ba1 lei3
巴黎	ba1 li2
笆籬	ba1 li2
芭籬	ba1 li2
芭黎	ba1 li2
八里	ba1 li3
巴利	ba1 li4
巴力	ba1 li4
巴林	ba1 lin2
巴陵	ba1 ling2
八龍	ba1 long2
笆簍	ba1 lou3
扒魯	ba1 lu3
巴謾	ba1 man4
巴鏝	ba1 man4
芭芒	ba1 mang2
八門	ba1 men2
八莫	ba1 mo4
八難	ba1 nan2
疤痆	ba1 nie4
吧女	ba1 nv3
巴攀	ba1 pan1
芭棚	ba1 peng2
八旗	ba1 qi2
巴丘	ba1 qiu1
八區	ba1 qu1
巴人	ba1 ren2
八儒	ba1 ru2
芭賽	ba1 sai4
巴山	ba1 shan1
巴蛇	ba1 she2
八神	ba1 shen2
八石	ba1 shi2
八識	ba1 shi4
巴士	ba1 shi4
八書	ba1 shu1
巴菽	ba1 shu2
巴蜀	ba1 shu3
巴水	ba1 shui3
巴斯	ba1 si1
八索	ba1 suo3
吧檯	ba1 tai2
八體	ba1 ti3
巴統	ba1 tong3
巴圖	ba1 tu2
巴望	ba1 wang4
八維	ba1 wei2
巴烏	ba1 wu1
巴西	ba1 xi1
八遐	ba1 xia2
巴峽	ba1 xia2
八仙	ba1 xian1
巴先	ba1 xian1
巴縣	ba1 xian4
巴想	ba1 xiang3
八相	ba1 xiang4
八刑	ba1 xing2
八埏	ba1 yan2
巴鹽	ba1 yan2
八佾	ba1 yi4
八裔	ba1 yi4
八議	ba1 yi4
八音	ba1 yin1
八垠	ba1 yin2
八幽	ba1 you1
八元	ba1 yuan2
八蜡	ba1 zha4
巴掌	ba1 zhang5
巴着	ba1 zhao2
八珍	ba1 zhen1
八陣	ba1 zhen4
八政	ba1 zheng4
八柱	ba1 zhu4
巴拽	ba1 zhuai4
八專	ba1 zhuan1
八字	ba1 zi4
巴子	ba1 zi5
羓子	ba1 zi5
八宗	ba1 zong1
八座	ba1 zuo4
拔白	ba2 bai2
拔步	ba2 bu4
拔出	ba2 chu1
拔除	ba2 chu2
拔萃	ba2 cui4
拔檔	ba2 dang3
拔地	ba2 di4
拔掉	ba2 diao4
拔碇	ba2 ding4
拔都	ba2 du1
拔縫	ba2 feng4
拔高	ba2 gao1
拔貢	ba2 gong4
拔關	ba2 guan1
拔河	ba2 he2
拔禾	ba2 he2
跋扈	ba2 hu4
拔跡	ba2 ji1
拔濟	ba2 ji4
拔尖	ba2 jian1
拔節	ba2 jie2
拔解	ba2 jie4
拔救	ba2 jiu4
拔距	ba2 ju4
拔葵	ba2 kui2
拔剌	ba2 la4
跋履	ba2 lv3
拔錨	ba2 mao2
拔奇	ba2 qi2
拔旗	ba2 qi2
拔起	ba2 qi3
拔親	ba2 qin1
拔取	ba2 qu3
拔羣	ba2 qun2
拔摋	ba2 sha1
跋涉	ba2 she4
軷涉	ba2 she4
拔身	ba2 shen1
拔絲	ba2 si1
拔俗	ba2 su2
拔頭	ba2 tou2
拔突	ba2 tu2
拔腿	ba2 tui3
跋文	ba2 wen2
拔薤	ba2 xie4
拔牙	ba2 ya2
拔營	ba2 ying2
拔尤	ba2 you2
跋語	ba2 yu3
拔宅	ba2 zhai2
拔寨	ba2 zhai4
拔幟	ba2 zhi4
拔擢	ba2 zhuo2
