一喫一添	yi1 chi1 yi1 tian1
一嘟嚕	yi1 du1 lu1
一回	yi1 hui2
一回事	yi1 hui2 shi4
一回生兩回熟	yi1 hui2 sheng1 liang3 hui2 shou2
一國三公	yi1 guo2 san1 gong1
一國兩制	yi1 guo2 liang3 zhi4
一團	yi1 tuan2
一團和氣	yi1 tuan2 he2 qi4
一團漆黑	yi1 tuan2 qi1 hei1
一團火	yi1 tuan2 huo3
一團糟	yi1 tuan2 zao1
一地	yi1 di4
一地胡拿	yi1 di4 hu2 na2
一地裏	yi1 di4 li5
一坨	yi1 tuo2
一垛	yi1 duo4
一堂	yi1 tang2
一堆	yi1 dui1
一報還一報	yi1 bao4 huan2 yi1 bao4
一場官司一場火	yi1 chang2 guan1 si1 yi1 chang2 huo3
一場春夢	yi1 chang2 chun1 meng4
一場空	yi1 chang2 kong1
一塊	yi1 kuai4
一塊兒	yi2 kuar4
一塊石頭拋上天	yi1 kuai4 shi2 tou5 pao1 shang4 tian1
一塊石頭掉井裏	yi1 kuai4 shi2 tou5 diao4 jing3 li3
一塊石頭落了地	yi1 kuai4 shi2 tou5 luo4 le5 di4
一塊羊肉落在狗口裏	yi1 kuai4 yang2 rou4 luo4 zai4 gou3 kou3 li3
一塊肉	yi1 kuai4 rou4
一塌糊塗	yi1 ta1 hu2 tu2
一塵	yi1 chen2
一塵不染	yi1 chen2 bu4 ran3
一壁	yi1 bi4
一壁廂	yi1 bi4 xiang1
一壺千金	yi1 hu2 qian1 jin1
一夔已足	yi1 kui2 yi3 zu2
一夕	yi1 xi4
一夜夫妻百夜恩	yi1 ye4 fu1 qi1 bai3 ye4 en1
一夜夫妻百日恩	yi1 ye4 fu1 qi1 bai3 ri4 en1
一夜無夢	yi1 ye4 wu2 meng4
一夜無眠	yi1 ye4 wu2 mian2
一夜被蛇咬	yi1 ye4 bei4 she2 yao3
一夥	yi1 huo3
一夥子持臥單	yi1 huo3 zi5 chi2 wo4 dan1
一大三大	yi1 da4 san1 da4
一大二小	yi1 da4 er4 xiao3
一大半	yi1 da4 ban4
一大早	yi1 da4 zao3
一大會兒	yi2 da4 huer3
一大溜	yi1 da4 liu4
一大郎當	yi1 da4 lang2 dang1
一天	yi1 tian1
一天一個現在	yi1 tian1 yi1 ge5 xian4 zai4
一天到晚	yi1 tian1 dao4 wan3
一天星斗	yi1 tian1 xing1 dou3
一天火	yi1 tian1 huo3
一夫	yi1 fu1
一夫一妻制	yi1 fu1 yi1 qi1 zhi4
一夫多妻制	yi1 fu1 duo1 qi1 zhi4
一夫當關	yi1 fu1 dang1 guan1
一失足成千古恨	yi1 shi1 zu2 cheng2 qian1 gu3 hen4
一套	yi1 tao4
一女不喫兩家茶	yi1 nv3 bu4 chi1 liang3 jia1 cha2
一如	yi1 ru2
一如既往	yi1 ru2 ji4 wang3
一妻多夫制	yi1 qi1 duo1 fu1 zhi4
一姓	yi1 xing4
一子兒	yi2 zer3
一子出家	yi1 zi3 chu1 jia1
一子繼承制	yi1 zi3 ji4 cheng2 zhi4
一孔之見	yi1 kong3 zhi1 jian4
一孔出氣	yi1 kong3 chu1 qi4
一字一板	yi1 zi4 yi1 ban3
一字一淚	yi1 zi4 yi1 lei4
一字一珠	yi1 zi4 yi1 zhu1
一字不差	yi1 zi4 bu4 cha1
一字不忘	yi1 zi4 bu4 wang4
一字不提	yi1 zi4 bu4 ti2
一字不苟	yi1 zi4 bu4 gou3
一字不識	yi1 zi4 bu4 shi4
一字之師	yi1 zi4 zhi1 shi1
