䰖兒	zuar3
咬舌兒	yao3 sher2
哈叭狗兒咬虼蚤	ha3 ba1 gour3 yao3 ge4 zao3
哈哈兒	ha1 har5
哥們兒	ge1 mer5
哥兒	ger1
哥兒倆	ger1 lia3
哥兒們	ger1 men5
哥兒大爺	ger1 da4 ye2
哩嗹花兒	li1 lian2 huar1
哪兒的話	nar3 de5 hua4
哪堝兒	na3 guor1
哭天兒抹淚	ku1 tiar1 mo3 lei4
哼兒哈兒	hengr1 har1
唱門詞兒	chang4 men2 cer2
啄針兒	zhuo2 zher1
喇叭口兒	la3 ba5 kour3
喜蟲兒	xi3 chongr2
單個兒	dan1 ger4
單掉兒	dan1 diaor4
單撒手兒	dan1 sa1 shour3
嗎兒	mar3
嗓兒	sangr3
嗓門兒	sang3 mer2
嗝兒	ger2
嗻兒喳兒	zher4 zhar1
嘎兒	gar2
嘎嘎兒	ga2 gar5
嘎嘎兒天	ga2 gar5 tian1
嘎嘎棗兒	ga2 ga5 zaor3
嘎巴兒	ga1 bar5
嘎渣兒	ga1 zhar1
嘴兒	zuer3
嘴抹兒	zui3 mor3
噘嘴兒	jue1 zuer3
噶個點兒	ga2 ge5 diar3
嚼裹兒	jiao2 guor3
四大門兒	si4 da4 mer2
四季花兒	si4 ji4 huar1
四方塊兒	si4 fang1 kuar4
四至兒	si4 zher4
回頭兒	hui2 tour2
圈兒	quar4
圍脖兒	wei2 bor2
團龍兒	tuan2 longr2
土杏兒	tu3 xingr4
土老兒	tu3 laor3
坎兒	kar3
坎兒井	kar3 jing3
坐家女兒	zuo4 jia1 nver3
坐纛旂兒	zuo4 dao4 qir2
坑兒	kengr1
城圈兒	cheng2 quar4
報盤兒的	bao4 par2 de5
報苦窮兒	bao4 ku3 qiongr2
堵門兒	du3 mer2
塌秧兒	ta1 yangr1
墊根兒	dian4 ger1
墊踹兒	dian4 chuar4
壓根兒	ya4 ger1
壓氣兒	ya1 qier4
壓碟兒	ya1 dier2
壘窠兒	lei3 ker1
壽星老兒	shou4 xing5 laor3
外四家兒	wai4 si4 jiar1
外秧兒	wai4 yangr1
外道兒	wai4 daor4
外面兒光	wai4 miar4 guang1
多會兒	duo1 huer5
夜兒個	yer4 ge5
夜盆兒	ye4 per2
夠過兒	gou4 guor4
大伙兒	da4 huor3
大個兒	da4 ger4
大塊兒	da4 kuar4
大夥兒	da4 huor3
大家夥兒	da4 jia1 huor3
大小人兒	da4 xiao3 rer2
大摺兒	da4 zher2
大本兒	da4 ber3
大腦門兒	da4 nao3 mer2
大面兒上	da4 miar4 shang4
大面皮兒	da4 mian4 pier2
大頭兒	da4 tour2
天不着風兒晴不的	tian1 bu4 zhuo2 fengr1 qing2 bu4 de5
天老兒	tian1 laor3
夯雀兒先飛	hang1 quer4 xian1 fei1
失心兒	shi1 xier1
夾餡兒	jia2 xiar4
套兒	taor4
套環兒	tao4 huar2
女又十撇兒	nv3 you4 shi2 pier3
女孩兒	nv3 har2
